CODIGO_PRODUTO,DESCRICAO_MATERIAL,TEXTO_DESCRITIVO
199019,RALADOR MIMO C/POTE E TAMPA 3782 BR,"RALADOR MIMO C/POTE E TAMPA 3782 BR . Categoria: UTILIDADE DOMÉSTICA > UTENSILIOS_DOMESTICOS . Preço final: R$ 46.00 . Descrição do produto: Ralador Com Pote e Tampa Mimo 3782 Branco / Garantia do Fabricante:03 Meses / Marca:Mimo / Modelo:Ralador / Referência:3782 / Cor:Ïncolor / Material:Plástico / Informações Adicionais:Com pote e tampa / Conteúdo da Embalagem:01 Ralador / EAN:7898516893833 / Aviso: . Avaliado por 68 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""praticidade"",""eficiência"",""alta qualidade"",""facilidade de limpeza"",""design bonito"",""utilidade"",""resistência"",""organização""],""Caracteristicas_Negativas"":[""fragilidade"",""tamanho pequeno"",""desprendimento""]} . Clientes também compraram: 206280 - AMASSADOR DE ALHO MIMO ASA18 PT/PR, 187617 - PENEIRA MIMO 18CM AP18 IN, 215842 - DESCASCADOR/FATIADOR MIMO 3X1 6919 BR/CZ, 199022 - PENEIRA MIMO 21CM 5664 IN, 201993 - POTE MARTIPLAST HERM C/T 1L OB200 TR/BR ."
200641,FORMA NADIR RET 750ML GD16214013N,"FORMA NADIR RET 750ML GD16214013N . Categoria: UTILIDADE DOMÉSTICA > ASSADEIRAS_FORMAS . Preço final: R$ 34.00 . Descrição do produto: Forma Retangular 750ml Marinex Nadir Figueiredo GD16214013N / Aviso: / Garantia:03 meses / Marca:Marinex / Fornecedor:Nadir Figueiredo / Capacidade:750 ml / Dimensões (AxLxP):6,8 x 11,5 x 17,8 cm / Formato:Retangular / Material:Vidro / Conteúdo da embalagem:01 forma retangular / Vai ao microondas:Sim / Vai ao forno:Sim / Ean:7891155064824 . Avaliado por 140 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""custo benefício"",""qualidade"",""praticidade"",""resistência"",""design"",""funcionalidade"",""tampa hermética"",""versatilidade"",""fácil limpeza"",""organização""],""Caracteristicas_Negativas"":[""tamanho pequeno"",""dificuldade de manuseio"",""acúmulo de gordura""]} . Clientes também compraram: 200647 - POTE NADIR HERM RET 400ML 63480200999643, 228642 - POTE OXFORD HERM RET C/DV 580ML PT201101, 200649 - ASSADEIRA NADIR RED C/T 1,5L GD16456719N, 205427 - ASSADEIRA NADIR RET 3,5L 65390201016215 ."
201987,ESCADA BANQUETA MOR 2 DEGRAUS 5107 AL,"ESCADA BANQUETA MOR 2 DEGRAUS 5107 AL . Categoria: UTILIDADE DOMÉSTICA > ESCADAS . Preço final: R$ 219.00 . Descrição do produto: Escada Com 2 Degraus E Banqueta Mor 5107 / Garantia do Fabricante:12 Meses / Marca:Mor / Modelo:Escada 2 Degraus / Cor:Cinza / Referência:5107 / Material:Alumínio / Informações Adicionais:Suporta até 120kg e dobrável / Conteúdo da Embalagem:01 Escada 2 Degraus / EAN:7896020651079 / Aviso: . Avaliado por 111 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""praticidade"",""leveza"",""resistência"",""qualidade"",""utilidade"",""facilidade de manuseio"",""compacta"",""segurança"",""custo benefício"",""versatilidade""],""Caracteristicas_Negativas"":[""trava dura"",""instabilidade"",""dificuldade de fechamento"",""falta de antiderrapância""]} . Clientes também compraram: 201986 - ESCADA MOR 4 DEGRAUS 5102 AL, 108479 - VARAL MOR P/CHÃO C/ABAS 006005 BR, 107844 - ESCADA MOR 8 DEGRAUS 005106 AL, 147919 - VARAL MOR P/CHÃO C/ABAS 6032 AL ."
204256,TIMER MIMO P/COZIMENTO DE OVOS SF19164,"TIMER MIMO P/COZIMENTO DE OVOS SF19164 . Categoria: UTILIDADE DOMÉSTICA > ACESSORIOS_DE_COZINHA . Preço final: R$ 18.00 . Descrição do produto: Timer Para Cozimento De Ovos Mimo SF19164 VermelhoO timer para cozimento de ovos Mimo Style é um produto específico para cozinhar ovos de forma eficiente e consistente. Ele é feito de resina de qualidade e muda de cor conforme o ponto de cozimento alcançado pelo ovo, oferecendo ovos perfeitos. Durante o cozimento, o sensor de calor que fica no timer irá mudar de cor, indicando a etapa do processo de cozimento em que se encontra o ovo.  / Existem diferentes modelos de timers da Mimo Style disponíveis no mercado, todos com o mesmo intuito de facilitar a obtenção de ovos cozidos no ponto desejado. É importante ler as instruções de uso do produto com atenção, para garantir o melhor resultado possível. / Garantia do Fabricante:03 meses / Marca:Mimo Style / Modelo:SF19164 / Cor:Vermelho / Origem:Nacionalizado / Material:Resina / Sensor de Calor:Sim / O timer muda de cor indicando o ponto do ovo. / Medidas do Produto (A x L x P): 5,7 x 4,0 x 3,5 cm. / Utilidade:Uso doméstico e Profissional / Aviso:Imagem meramente ilustrativa / EAN:7908216101135 . Avaliado por 118 clientes, com nota média de 4.7 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""eficácia"",""praticidade"",""economia"",""qualidade"",""satisfação"",""funcionalidade"",""recomendação"",""utilidade""],""Caracteristicas_Negativas"":[""durabilidade"",""funcionamento"",""insatisfação"",""falta de manual""]} . Clientes também compraram: 173444 - AFIADOR DE FACAS MOR 3901 PT, 215650 - ESPÁTULA MIMO SILICONE GRANDE 5912 VM, 206280 - AMASSADOR DE ALHO MIMO ASA18 PT/PR, 215842 - DESCASCADOR/FATIADOR MIMO 3X1 6919 BR/CZ, 215496 - MODELADOR DE OVO MIMO CORAÇÃO 7503 IN ."
208545,FAQUEIRO 24P TRAMONTINA HAVAI 66905/094,"FAQUEIRO 24P TRAMONTINA HAVAI 66905/094 . Categoria: UTILIDADE DOMÉSTICA > FAQUEIRO . Preço final: R$ 89.00 . Descrição do produto: Faqueiro 24 Peças Tramontina Havaí Em Aço Inox 66905/094 / Garantia do Fabricante:03 meses / Marca:Tramontina / Modelo:Havaí / Referência:66905/094 / Cor:Prata / Material:Aço Inox / Quantidade de Peças:24 peças / Colheres de Mesa:06 unidades / Garfos de Mesa:06 unidades / Facas de Mesa:06 unidades / Colheres de Chá:06 unidades / Pode ir ao Micro-ondas Não / Pode ir ao Lava-louças:Sim / Diferencial:Resistente ã corrosão / Conteúdo da embalagem:Faqueiro 24 peças  / Dimensões da embalagem (AxLxP):28 x 4,2 x 20 cm / Peso Total:590 gramas | com embalagem  / Aviso: imagens meramente ilustrativas / EAN: 7891116165980 . Avaliado por 61 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""excelente qualidade"",""resistência"",""praticidade"",""durabilidade"",""estética"",""satisfação"",""custo benefício"",""fácil de lavar"",""recomendação""],""Caracteristicas_Negativas"":[""atraso na entrega"",""falta de itens"",""preço inadequado""]} . Clientes também compraram: 58408 - COLHER P/ARROZ TRAMONTINA 63906/101 IN, 187603 - COLHER P/ARROZ TRAMONTINA 63815/101 IN, 201962 - PEGADOR P/MASSA TRAMONTINA 63800/605 IN ."
213202,FORMA BRINOX P/PÃO 30CM 1460/303 GF,"FORMA BRINOX P/PÃO 30CM 1460/303 GF . Categoria: UTILIDADE DOMÉSTICA > ASSADEIRAS_FORMAS . Preço final: R$ 49.00 . Descrição do produto: FORMA BRINOX PARA PãO 30CM 1460/303 / angles:2 / Aviso:Imagem meramente ilustrativa / Marca:Brinox     / Cor:Grafite     / Tamanho:30cm     / Referência:1460/303     / Material:Alumínio / Aviso:Antiaderente / Peso:0,16 kg / Pode ir ao Micro-ondas:Não / Pode ir a máquina de lava-louça:Não / Tampa:Não / Ean:7896502841417     . Avaliado por 48 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""excelente"",""prático"",""ótima qualidade"",""antiaderente"",""fácil de usar"",""fácil de limpar"",""tamanho ideal"",""recomendado"",""satisfação""],""Caracteristicas_Negativas"":[""problemas com antiaderência"",""preço alto"",""insatisfação""]} . Clientes também compraram: 213100 - FORMA BRINOX P/BOLO 20CM 1460/310 GF, 108306 - ASSADEIRA TRAMONTINA FD 28 20051/028 PT, 202202 - FORMA BRINOX P/PIZZA 33CM 1460/308 GF, 205460 - BATEDOR MANUAL TRAMONTINA 25579/170 VM, 219559 - ASSADEIRA TRAMONTINA FD 22 20051722 VM ."
213756,PORTA ESCOVA MARTIPLAST DENTAL UP2000 VD,"PORTA ESCOVA MARTIPLAST DENTAL UP2000 VD . Categoria: UTILIDADE DOMÉSTICA > ACESSORIOS_PARA_BANHEIRO . Preço final: R$ 9.00 . Descrição do produto: Porta Escova Martiplast Dental UP Verde Menta UP2000 / Garantia do Fabricante:03 meses / Marca:OU / Fabricante:Martiplast / Linha:Dental UP / Modelo:Porta Escova / Cor:Verde  / Material:Polipropileno / Alça para Transporte:Sim | Fácil de transportar, leve sempre com você para qualquer lugar como trabalho, academia e viagens / Utilidade:Guarde escova de dente, pasta de dente e fio dental tudo em um só lugar / Conteúdo da embalagem:01 Porta Escova Dental UP / Dimensões do Produto (AxLxP):22 x 6,5 x 4,5  cm / Peso do Produto:70 g / EAN:7897386792710 / Aviso: . Avaliado por 41 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""praticidade"",""utilidade"",""qualidade"",""proteção"",""variedade"",""design atraente"",""bom tamanho"",""resistência""],""Caracteristicas_Negativas"":[""fragilidade""]} . Clientes também compraram: 154123 - PORTA ESCOVA OU DENTAL UP2000 PR, 239825 - SABONETEIRA OU SOFT SBT100VDMF VD ."
213883,ARARA P/ROUPAS UTIMIL C/CESTO AC991,"ARARA P/ROUPAS UTIMIL C/CESTO AC991 . Categoria: UTILIDADE DOMÉSTICA > ORGANIZADORES_DE_CASA_PRATELEIRAS_E_SUPORTES . Preço final: R$ 216.00 . Descrição do produto: Arara Para Roupas Com Cesto E Rodinhas Utimil AC991A Arara Para Roupas Com Cesto E Rodinhas Utimil AC991 é um produto versátil e prático que pode ser usado em diversos ambientes, como quarto, lavanderia ou closet.. Material: Ela é feita de aço carbono com pintura epóxi, o que a torna resistente e durável.. A Arara Utimil é uma ótima opção para quem busca um produto prático e funcional para organizar as roupas. / Garantia do Fabricante:03 meses / Marca:Utimil / Referência:AC991 / Cor:Branco / Observações:Com cesta / Material:Tubo de aço carbono com pintura epóxi, cesto de arame cromado, rodízios, buchas e ponteiras em polietileno e porca de aço carbono zincada.  / Capacidade:Suporta 25 kg / Dimensões (AxLxC):149 x 70 x 42cm  / Peso do Produto: 2,8kg / Recomendações:Não deixar em contato com produtos químicos em abrasivos e expostos ã chuva e sol / EAN:7896429109911 / Aviso: / MANUAL_001:https: / static.bemol.com.br/pages/bemol/manuais/213883.pdf . Avaliado por 21 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""ótima qualidade"",""compacta"",""funcional"",""organização"",""prática"",""resistente"",""fácil de montar"",""indispensável""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 206402 - CJ 5P CABIDES LATCOR LSV010A, 206403 - CJ 5P CABIDES LATCOR LSMD011, 108479 - VARAL MOR P/CHÃO C/ABAS 006005 BR, 176205 - TRAVESSEIRO PELMEX SOFT PLUS 40X60 BR, 213886 - SAPATEIRA UTIMIL 6 ANDARES PR443 PT ."
213889,FRUTEIRA UTIMIL C/3 CESTOS FIXOS CR567,"FRUTEIRA UTIMIL C/3 CESTOS FIXOS CR567 . Categoria: UTILIDADE DOMÉSTICA > FRUTEIRA . Preço final: R$ 248.00 . Descrição do produto: Fruteira Com 3 Cestos Fixos E Tampo De Metal Utimil CR567 / Garantia do Fabricante:03 meses / Marca:Utimil / Referência:CR567 / Cor:Cromado / Material:Aço cromado / Observações:Com rodinhas / Origem:Nacional / Dimensões (AxLxC): 82 x 40 x 29 cm / EAN:7896429105678 / Aviso: . Avaliado por 8 clientes, com nota média de 4.5 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""essencial"",""resistência"",""praticidade"",""design bonito"",""leveza"",""funcionalidade"",""recomendação""],""Caracteristicas_Negativas"":[""preço alto"",""não atendeu necessidades""]} . Clientes também compraram: 67566 - ESCORREDOR DE PRATOS BRINOX 2099/116 IN, 201993 - POTE MARTIPLAST HERM C/T 1L OB200 TR/BR, 147919 - VARAL MOR P/CHÃO C/ABAS 6032 AL ."
213894,VARAL UTIMIL SANFONADO EP364 BR,"VARAL UTIMIL SANFONADO EP364 BR . Categoria: UTILIDADE DOMÉSTICA > VARAL . Preço final: R$ 112.00 . Descrição do produto: Varal Sanfonado 1 Metro Utimil EP364 / Garantia do Fabricante:03 meses / Marca:Utimil / Modelo:Sanfonado / Referência:EP364 / Cor:Branco / Capacidade:Suporta 10 kg / Material:Chapa e arame de aço carbono com pintura epóxi, buchas em polietileno e parafusos em aço carbono zincado. / Orientações de uso:Não deixar o varal em contato com produtos químicos ou abrasivos. / Dimensões do Produto Aberto (AxLxC): 16,5 x 100 x 42,5 cm / Dimensões do Produto Fechado (AxLxC):16,5 x 100 x 8 cm / Peso do Produto Individual:1,490 kg / EAN:7896429103643 / Aviso: . Avaliado por 24 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""praticidade"",""resistência"",""qualidade"",""custo-benefício"",""facilidade de instalação"",""otimização de espaço""],""Caracteristicas_Negativas"":[""fragilidade""]} . Clientes também compraram: 108479 - VARAL MOR P/CHÃO C/ABAS 006005 BR, 213895 - VARAL UTIMIL SANFONADO EP367 BR, 141104 - VARAL MOR SANFONADO 6022 BR, 212887 - VARAL MOR P/CHÃO C/ABAS SLIM 6216 PT, 213896 - VARAL UTIMIL SUPERIOR CURINGA EP348 ."
