CODIGO_PRODUTO,DESCRICAO_MATERIAL,TEXTO_DESCRITIVO
155689,TABELA BASQUETE LIDER SPIDER-MAN 2048,"TABELA BASQUETE LIDER SPIDER-MAN 2048 . Categoria: BRINQUEDOS > ESPORTE_INFANTIL . Preço final: R$ 134.00 . Descrição do produto: Tabela de Basquete Líder Spider-man 2048 a Partir de 3 Anos / Acessórios:Não / Garantia:03 MESES / Gênero:Menino / Idade Recomendada:A partir de 3 anos / Marca:Líder / Material:Polietileno/Nylon/Eva / Nº de Participantes:1 a 3 / Personagem:Spider Man / Referência do modelo:2048 / Tipo/Modelo:Coordenção monotora / angles:6 . Avaliado por 386 clientes, com nota média de 4.7 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""diversão"",""resistência"",""qualidade"",""praticidade"",""estímulo"",""educativo"",""fácil instalação"",""bonito"",""acessível""],""Caracteristicas_Negativas"":[""fragilidade"",""tamanho pequeno"",""qualidade razoável""]} . Clientes também compraram: 208073 - CHUTE A GOL LIDER MINI TRAVE 309, 229995 - CHUTE A GOL LIDER PATRULHA CANINA 2522, 229993 - JG LIDER BOLICHE HOMEM ARANHA 971, 189311 - JG LIDER BOLICHE PATRULHA CANINA 2481 ."
160582,CACHORRINHO MATTEL FP SNOOPY H9447,"CACHORRINHO MATTEL FP SNOOPY H9447 . Categoria: BRINQUEDOS > PRIMEIRA_INFANCIA . Preço final: R$ 136.00 . Descrição do produto: Brinquedo Meu Primeiro Cachorrinho Mattel Fisher-Price Lil Snoopy - H9447. Estímulo Sensorial: Os sons e movimentos do cachorrinho proporcionam estímulos sensoriais que ajudam no desenvolvimento auditivo e visual das crianças.. Interatividade: Promove a interação e a brincadeira ativa, ajudando as crianças a entenderem a relação de causa e efeito.. Diversão e Entretenimento: Proporciona horas de diversão para as crianças, mantendo-as engajadas e entretidas. / Garantia do Fabricante:03 meses / Marca:Fisher-Price / Fabricante:Mattel / Modelo:Meu Primeiro Cachorrinho / Referência:H9447  / Cor:Marrom, vermelho e azul / Material:Plástico / Faixa Etária:A partir de 6 meses / Informações Adicionais:O cachorrinho mexe a cabeça, orelhas e rabinho, além de latir conforme a criança vai puxando / Conteúdo da Embalagem:01 brinquedo Fisher-Price / Peso do Produto:349 g / EAN:27084279276 / Aviso: . Avaliado por 23 clientes, com nota média de 5.0 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""excelente opção de presente"",""muito amado"",""qualidade"",""resistência"",""interatividade"",""bonito"",""divertido"",""ajuda a perder medo de animais"",""recomendado""],""Caracteristicas_Negativas"":[]} . Clientes também compraram: 188829 - XYLOPHONE MATTEL FP CLASSIC CMY09, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA ."
167212,JG HASBRO TWISTER NOVO 98831,"JG HASBRO TWISTER NOVO 98831 . Categoria: BRINQUEDOS > JOGOS_DIVERSOS_BRINQUEDOS . Preço final: R$ 142.00 . Descrição do produto: Jogo Twister Novo Hasbro 98831 / Garantia do Fabricante:03 Meses / Marca:Hasbro / Modelo:Jogo Twister / Referência:98831 / Material:Plástico / Faixa Etária:A partir de 6 anos / Conteúdo da Embalagem:01 Tapete de Twister / EAN:5010994743901 / Aviso: . Avaliado por 147 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""diversão"",""qualidade"",""preço acessível"",""recomendação"",""criatividade"",""interatividade"",""satisfação""],""Caracteristicas_Negativas"":[""fragilidade"",""dificuldade de lidar com a demanda""]} . Clientes também compraram: 222469 - JG COPAG TA PENSANDO O QUÊ? 90940, 179996 - JG MATTEL CARTAS UNO ORIGINAL W2085, 222463 - JG COPAG PERGUNTADOS 30841, 200968 - JG HASBRO JENGA A2120, 194583 - JG GROW PIZZARIA MALUCA 1283 ."
175035,PISTA MATTEL HW ESTAÇÃO CIENTÍFICA CCP76,"PISTA MATTEL HW ESTAÇÃO CIENTÍFICA CCP76 . Categoria: BRINQUEDOS > PISTAS . Preço final: R$ 336.00 . Descrição do produto: Pista Hot Wheels Color Change Estação Científica Mattel CCP76 / Garantia do Fabricante:03 Meses / Idade:A partir de 4 anos / Marca:Hot Wheels / Fabricante:Mattel / Referência do modelo:CCP76 / Modelo:Pista Hot Wheels com Estação Científica / Material:Plástico/Metal / Participantes:1 ou mais / Funcionamento:Manual / Acessórios:Sim / Peso líquido:0,786kg / Dimensões (AxLxP):6,4x30,5x38,1 cm / EAN:887961030815 / Aviso: . Avaliado por 54 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""diversão"",""interatividade"",""qualidade"",""facilidade de montagem"",""recomendação"",""satisfação""],""Caracteristicas_Negativas"":[""tamanho pequeno"",""preço alto"",""expectativas não atendidas""]} . Clientes também compraram: 51156 - CARRO MATTEL HW CITY MINI C/5 1806 SORT, 112622 - CARRO MATTEL HW MINI C/10 54886 SORT, 179996 - JG MATTEL CARTAS UNO ORIGINAL W2085 ."
179507,JG LIDER CHUTE A GOL SPIDERMAN 2046,"JG LIDER CHUTE A GOL SPIDERMAN 2046 . Categoria: BRINQUEDOS > ESPORTE_INFANTIL . Preço final: R$ 92.00 . Avaliado por 181 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""diversão"",""praticidade"",""resistência"",""custo-benefício"",""satisfação"",""recomendação"",""entretenimento""],""Caracteristicas_Negativas"":[""fragilidade"",""tamanho pequeno"",""insatisfação""]} . Clientes também compraram: 233460 - BONECO HASBRO UNIVERSO MARVEL F6607 SORT, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 229996 - FRESCOBOL LIDER HOMEM ARANHA 2536 ."
182556,LIVRINHO DE RIMAS MATTEL FP CDH62,"LIVRINHO DE RIMAS MATTEL FP CDH62 . Categoria: BRINQUEDOS > PRIMEIRA_INFANCIA . Preço final: R$ 198.00 . Descrição do produto: Brinquedo L&L Livro de Rimas Aprender e Brincar Fisher Price Mattel / Garantia do Fabricante:03 Meses / Marca:Mattel / Modelo:Livrinho de Rimas / Referência:CDH62 / Cor:Colorido / Material:Plástico / Faixa Etária:A partir de 3 meses / Conteúdo da Embalagem:01 Livrinho de Rimas / Peso aprox:0,560kg / Dimensões do Produto:28 x 23 x 4 cm / EAN:887961041750 / Aviso: . Avaliado por 88 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""educativo"",""qualidade"",""interatividade"",""durabilidade"",""satisfação"",""diversão"",""criatividade"",""resistência"",""atendimento""],""Caracteristicas_Negativas"":[""preço alto""]} . Clientes também compraram: 201838 - PIANO MUSICAL MATTEL FP CACHORRINH GFX34, 188829 - XYLOPHONE MATTEL FP CLASSIC CMY09, 196423 - TOCADOR MÚSICA MATTEL FP CANTE APD FPV02 ."
182849,CJ 12P PRAIA BELFIX 195400 COL,"CJ 12P PRAIA BELFIX 195400 COL . Categoria: BRINQUEDOS > ACESSORIOS_BRINQUEDO . Preço final: R$ 39.00 . Descrição do produto: Conjunto de Brinquedos de Praia 12 Peças Belfix 195400 / Garantia:3 Meses / Marca:Belfix / Cor:Sortido / Referência do modelo:195400 / Material:Plástico / Gênero:Menina / Menino / Quantidade de Peças:12 Peças / Conteúdo da embalagem:1 Balde  20 cm, 6 Forminhas, 1 Pá, 1 Rastélo, 1 Pazinha, 1 Regador e 1 Peneira / Atenção: / Origem:Nacional / EAN:7896777919545 . Avaliado por 601 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""resistência"",""diversão"",""educativo"",""segurança"",""criatividade"",""praticidade"",""variedade""],""Caracteristicas_Negativas"":[""fragilidade"",""preço alto"",""falta de opções de cores""]} . Clientes também compraram: 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 200778 - BLOCO DISMAT BOX BLOCK PINOS MK165 ."
183026,GINA GIRAFA ELKA CORRE CORRE 286 AM,"GINA GIRAFA ELKA CORRE CORRE 286 AM . Categoria: BRINQUEDOS > PRIMEIRA_INFANCIA . Preço final: R$ 72.00 . Descrição do produto: Brinquedo Elka Gina Girafa Amarelo - 286 / Garantia do Fabricante:03 Meses / Marca:Elka / Modelo:Boneca Gina Girafa / Referência:286 / Material:Plástico / Faixa Etária:A partir de 1 ano / Conteúdo da Embalagem:01 Boneca Gina Girafa / Peso:0,130kg / Dimensões do Produto:11 x 6 x 22 cm / EAN:7896448128603 / Aviso: . Avaliado por 112 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""resistência"",""diversão"",""educativo"",""segurança"",""custo-benefício"",""praticidade"",""simplicidade"",""colorido""],""Caracteristicas_Negativas"":[""fragilidade""]} . Clientes também compraram: 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 213869 - BLOCO DISMAT IMAGIBLOCOS MK402, 228213 - MESINHA DA HORA DISMAT BLOCOLÂNDIA MK383, 182556 - LIVRINHO DE RIMAS MATTEL FP CDH62 ."
185625,BOLA LIDER PRINCESAS 663,"BOLA LIDER PRINCESAS 663 . Categoria: BRINQUEDOS > ESPORTE_INFANTIL . Preço final: R$ 42.00 . Descrição do produto: Bola Disney Princesas Líder 663 Sortido / Garantia do Fabricante:03 Meses / Marca:Líder / Modelo:Princesa / Referência: / Cor:Multicor / Material:E.V.A / Faixa Etária:A Partir De 2 Anos / Informações Adicionais: / Conteúdo da Embalagem:01 Bola Lider Princesa / Dimensões do Produto(embalado) (AxLxP):21,5x20x20cm / Peso do Produto:161g / EAN:7898125116637 / Aviso: / Atenção:Modelos sortidos vendidos de acordo com a disponibilidade em estoque. Não é possível escolher o modelo em nossa loja online . Avaliado por 197 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""linda"",""resistente"",""leve"",""diversão"",""qualidade"",""recomendação"",""macia"",""colorida"",""bom presente"",""satisfação""],""Caracteristicas_Negativas"":[""fragilidade"",""cuidado"",""preço alto""]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 189317 - JG LIDER BOLICHE PRINCESAS 072, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA, 189318 - JG LIDER FRESCOBOL PRINCESAS 2525, 221781 - BONECA MATTEL BB PRINCESAS HGR00 SORT ."
186405,BONECA MATTEL BB KEN FASHION SORT DWK44,"BONECA MATTEL BB KEN FASHION SORT DWK44 . Categoria: BRINQUEDOS > BONECAS . Preço final: R$ 115.00 . Descrição do produto: Boneco Barbie Ken Fashionistas Mattel DWK44 Cores e Modelos Variados / Garantia do Fabricante:03 Meses / Marca:Mattel / Modelo:Boneco Barbie Ken / Referência:DWK44 / Cor:Sortido / Material:Plástico / Idade Recomendada:Apartir de 5 anos / Conteúdo da Emabalagem:1 Boneco Ken / Dimensões do Produto(AxLxP): 30 x 7,5 x 4,5 cm / Peso:0,100kg / EAN:887961383676 / Aviso: . Avaliado por 97 clientes, com nota média de 4.8 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""resistência"",""estilo"",""satisfação"",""preço justo"",""design"",""recomendação"",""durabilidade"",""bonito"",""conforto""],""Caracteristicas_Negativas"":[""preço alto"",""envio aleatório""]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 186404 - BONECA MATTEL BB FASHIONISTAS FBR37 SORT, 140972 - BONECA MATTEL BB GLITTER T7580 SORT, 192117 - BONECA MATTEL BB PROFISSÕES DVF50 SORT, 221781 - BONECA MATTEL BB PRINCESAS HGR00 SORT ."
188282,BONECA LIDER BEBÊ NA BANHEIRA AP879,"BONECA LIDER BEBÊ NA BANHEIRA AP879 . Categoria: BRINQUEDOS > BONECAS . Preço final: R$ 99.00 . Descrição do produto: Boneca Bebê na Banheira Líder Plástico 39cm / Garantia do Fabricante:03 Meses / Marca:Elka / Modelo:Boneca Fadinha / Referência:750 / Material:Plástico / Faixa Etária:A partir de 1 anos / Conteúdo da Embalagem:01 Boneca Fadinha / Peso do Produto:0,200kg / Dimensões do Produto:14 x 9 x 23 cm / EAN:7896448175003 / Aviso: . Avaliado por 793 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""satisfação"",""diversão"",""qualidade"",""resistência"",""preço acessível"",""linda"",""prática"",""educativa"",""recomendação""],""Caracteristicas_Negativas"":[""fragilidade"",""material inferior"",""simples""]} . Clientes também compraram: 140971 - BONECA MATTEL BB FASHION T7439 SORT, 185762 - BONECA LIDER BEBÊ CONFORTO AP883, 107672 - PICK-UP ROMA VISION C/MOTO 1115, 185626 - CARRINHO DE BONECA LIDER PRINCESA 2390, 231394 - KIT LIVRO DE COLORIR POSTER+GIZ DE CERA ."
188829,XYLOPHONE MATTEL FP CLASSIC CMY09,"XYLOPHONE MATTEL FP CLASSIC CMY09 . Categoria: BRINQUEDOS > PRIMEIRA_INFANCIA . Preço final: R$ 166.00 . Descrição do produto: Brinquedo Novo Xilofone Mattel Fisher Price / Garantia do Fabricante:03 Meses / Marca:Mattel / Modelo:Xilofone / Referência:CMY09 / Material:Plástico / Faixa Etária:A partir de 3 meses / Conteúdo da Embalagem:01 Brinquedo Xilofone / EAN:887961168075 / Aviso: /   . Avaliado por 110 clientes, com nota média de 4.9 estrelas. Comentários destacados: {""Caracteristicas_Positivas"":[""qualidade"",""resistência"",""diversão"",""educação"",""estímulo"",""coordenação motora"",""satisfação"",""recomendação"",""criatividade"",""interação""],""Caracteristicas_Negativas"":[""preço alto"",""insatisfação""]} . Clientes também compraram: 213877 - BLOCO DISMAT GIRO MÁGICO MK326, 182556 - LIVRINHO DE RIMAS MATTEL FP CDH62, 201838 - PIANO MUSICAL MATTEL FP CACHORRINH GFX34 ."
